years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1910,06 January 1910,wills point,tx,cigar,120,Cigar shaped object moving from West to East,32.7091667,-96.0080556
1920,06 November 1920,cicero,in,unknown,60,((NUFORC Note:  Probable hoax.  Note date.  PD))  Strange gathering of objects in the sky.,40.1238889,-86.0133333
1929,07 May 1929,buchanan  (or burns),or,disk,60,we were traveling east of burns&#44clmbing up thru a cut in the rim rocks when this object very slowely flew over the top of us&#44 some 50 f,43.6425,-118.6275
1931,06 January 1931,abilene,ks,disk,1800,This is a what my mother related to me regarding an experience my grandparents had.  They did not tell anyone for 20 or more years beca,38.9172222,-97.2136111
1939,06 January 1939,waterloo,al,fireball,300,4 high school students see bright&#44 ground-level&#44 slow moving fireball in the late 1930&#39s,34.9180556,-88.0641667
1939,07 July 1939,keokuk,ia,oval,600,Mother sees UFO above railroad tracks in 1939.,40.3972222,-91.3847222
1941,06 January 1941,ludington (hamlin lake),mi,disk,30,As a boy some 60 plus years ago I saw a round silver disc in the sky when I looked up from playing with ant hills.,43.9552778,-86.4525
1942,06 January 1942,hapeville,ga,unknown,180,bright object approchjng Venus&#44 1940&#39s,33.66,-84.4102778
1944,01 January 1944,san diego,ca,cigar,180,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,32.7152778,-117.1563889
1944,06 January 1944,los alamos,nm,disk,3600,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,35.8880556,-106.3063889
1944,04 February 1944,clovis,nm,disk,90,Saw UFO in 1944 over an airbase in New Mexico&#44 not very far from&#44 Roswell.,34.4047222,-103.2047222
1945,06 January 1945,jasper,fl,fireball,300,I belived it would be to our best Intrest to check this out .,30.5180556,-82.9483333
1945,06 July 1945,winston-salem,nc,disk,2,I always thought this sighting should be on an official list&#44 now&#44 60 yrs. later&#44 it is.,36.0997222,-80.2444444
1945,08 August 1945,huntington beach,ca,disk,300,MY DAD SAYS HIS AUNT AND UNCLE SAW THIS CRAFT IN 1944 OR 1945 DURING THE DAY IT HOVERED OVER THEM FOR ABOUT 5 MINUTES IN THE AREA OF BU,33.6602778,-117.9983333
1945,07 October 1945,portsmouth,va,formation,180,1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .,36.8352778,-76.2986111
1946,02 January 1946,merced,ca,sphere,10,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,37.3022222,-120.4819444
1946,07 January 1946,south portland,me,oval,10,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,43.6413889,-70.2413889
1946,01 August 1946,new york city (brooklyn),ny,disk,300,Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,40.7141667,-74.0063889
1947,06 January 1947,espanola (outside of),nm,circle,300,Saucer shaped object  about  ten feet in diam.,35.9911111,-106.08
1947,06 January 1947,cleveland,oh,light,300,It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out,41.4994444,-81.6955556
1947,06 January 1947,oroville,ca,unknown,60,I was only six&#44 but I was playing jacks in front of my home&#44 I looked up at the ball&#44 and there they were..no noise..I know now&#44 they w,39.5138889,-121.5552778
1947,07 January 1947,maywood,ca,disk,120,1947 UFO sighting Date: ? sometime in early summer Time: after dark (between 7 - 9 pm) Place: Maywood IL not far from O&#8217;hare Airbase (n,33.9866667,-118.1844444
1947,07 January 1947,cashmere,wa,formation,120,THE SIGHTING.&#9;It was a clear&#44 summer&#8217;s evening in 1947 (or 1948 &#8211; I can&#8217;t be sure of the exact year).  The sun had just set over th,47.5225,-120.4686111
1947,07 January 1947,minden,la,unknown,10,High altitude sighting in 1947,32.6152778,-93.2866667
1947,07 January 1947,wexford,pa,unknown,10,I have told this to people over many years. While on school vacation at my uncles junk yard one evening I noticed on the horizon at dus,40.6263889,-80.0561111
1947,07 April 1947,seattle,wa,oval,10,While walking in Woodland Park in Seattle&#44 Washington&#44 on July 4&#44 1947&#44 I looked up and saw a bright white oval object come down .,47.6063889,-122.3308333
1947,07 May 1947,philadelphia,pa,disk,300,Six craft observed that brought people out of their homes to look up.,39.9522222,-75.1641667
1947,07 September 1947,johnston city,il,disk,45,I was only 13 at the time but I will never forget what  I watch on that warm July evening I&#39am 69 now,37.8205556,-88.9275
1947,01 October 1947,conroe,tx,other,4,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;.  I was ten years old&#44 ridding in the front seat of our car next to the passan,30.3116667,-95.4558333
1947,08 October 1947,green valley,wi,unknown,300,White lights 5 to 7&#44 1/4 mile away&#44 no sounds&#44 just disappeared&#44,44.7955556,-88.2702778
1947,08 November 1947,roswell,nm,unknown,2400,Information,33.3941667,-104.5225
1947,08 December 1947,saranac lake,ny,disk,360,6-7 Disc shaped objects.  ((REPORT FROM:  BRIAN VIKE&#44 BRITISH COLUMBIA&#44 CANADA.)),44.3294444,-74.1316667
1948,08 January 1948,new york city (brooklyn),ny,circle,600,A round overing craft over neighbors roof&#44 emitting a roaring sound &#44 observed fire like a jet engine beneath,40.7141667,-74.0063889
1948,05 October 1948,scipio,in,sphere,10,Round red glowing ball going west in Northern sky.,39.0791667,-85.7175
1948,12 December 1948,sharpsburg,md,circle,180,Small UFO at 100&#39&#44  airspeed less than 20mph&#44 absolutely silent&#44  saw crew&#44 normal&#44 white uniforms.,39.4575,-77.7491667
1949,05 January 1949,oak ridge (drive),wv,other,40,log shape whooshing object observed near charleston w.v.,38.075,-81.1097222
1949,07 January 1949,fairbanks,ak,disk,120,Enormous metallic disc in Alaska sky&#44 1949.,64.8377778,-147.7163889
1949,07 January 1949,marion,al,formation,60,GEORGIA UFO GROUP Report/Tom Sheets:  Witness Debriefing-Alabama Orbs&#44 1949,32.6322222,-87.3191667
1949,04 October 1949,seattle,wa,disk,600,UFO Hovers over Seattle sky,47.6063889,-122.3308333
1949,06 October 1949,anchorage,ak,disk,180,Disk encountered operation difficulties and crashed.,61.2180556,-149.9002778
1949,10 October 1949,san marcos,tx,cylinder,2700,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,29.8830556,-97.9411111
1950,06 January 1950,philadelphia,ms,disk,600,Childhood sighting of disk witnessed by mother and sons.,32.7713889,-89.1166667
1950,06 January 1950,pittsburgh,pa,oval,1500,One larger white object &amp; 2 smaller round white objects.,40.4405556,-79.9961111
1950,08 January 1950,louisville,ky,other,60,In 1953&#44 at the age of 3 years old I was Contacted by what is described as a &quot;GREY&quot;.  This happened in Ky in 1953.,38.2541667,-85.7594444
1950,10 January 1950,pikeville,ky,disk,600,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,37.4791667,-82.5188889
1950,01 February 1950,new york city,ny,oval,900,good and true info. 500 Lights On Object0: Yes,40.7141667,-74.0063889
1950,07 February 1950,coeur d&#39alene,id,cigar,10,Bright Orange&#44 Cigar-Shapped Object Travelling at 18&#44000 MPH,47.6777778,-116.7794444
1950,06 July 1950,kensington,md,oval,600,Reflective oval seen hovering over Washington D.C.,39.0255556,-77.0766667
1950,06 August 1950,kansas city,mo,disk,900,The ufo came from the East&#44 as I was looking North. It hovered briefly above the house across the street from me; that house was on a s,39.0997222,-94.5783333
1950,07 October 1950,napa,ca,disk,120,Saw a circular craft approximately 30 foot in diameter.  It was glowing a green/purple rather subdued.  I did not like the color.  It h,38.2972222,-122.2844444
1950,07 October 1950,east palestine (outside of),oh,light,300,Lights observed moving in and out of a thunderstorm,40.8338889,-80.5405556
1950,12 December 1950,half moon bay,ca,other,600,3 blips on a military radar screen flew off the radar screen when military aircraft  approached them.,37.4636111,-122.4275
1951,07 January 1951,otis orchards,wa,disk,120,Cigar shaped Disc darting back and forth (East/West)&#44 Western shores of Liberty Lake&#44 WA &amp; West&#44 @ &amp;lt; 45 degre angle to So. Horizon,47.7005556,-117.1052778
1951,07 January 1951,atlanta,ga,unknown,120,As I stepped from my car I spied a really wierd trail forming in the sky over the East side of downtown Atlanta.  Being a photograher&#44,33.7488889,-84.3880556
1951,02 March 1951,thompsonville,ct,disk,30,A golden-orange glowing bowl&#44 flat on top&#44 2 ft in dia hovered overhead for about 30 sec. then was gone in a streak without  a sound,41.9969444,-72.5994444
1951,06 March 1951,jasper,nc,oval,300,MIDDAY OVAL SHAPE&#44 ANITQUE COLOR OBJECT SITTING HALF WAY BETWEEN TALL PINE TREES AND THE GROUND.,35.2013889,-77.2069444
1951,07 March 1951,green river,wy,sphere,420,Glowing white spherical large craft (50 to 100 ft dia) travels across mountain range near Green River&#44 Wyo,41.5286111,-109.4655556
1951,07 October 1951,provo,ut,disk,1800,Observed a gray&#44 saucer shaped object for 30 minutes&#44 clear blue sky&#44 no clouds&#44 hover&#44 move slowly&#44 and accelerate out of sight.,40.2338889,-111.6577778
1952,06 January 1952,dousman,wi,unknown,10,Silver monkeys that were about 3-4 feet tall.,43.0141667,-88.4725
1952,07 January 1952,sebeka,mn,other,1800,Silver donut shape object sighted over rural Minnesota.,46.63,-95.0886111
1952,07 January 1952,detroit,mi,sphere,300,object sits stationary for 5 minutes and then accelerates out of sight in 5 seconds.,42.3313889,-83.0458333
1952,08 January 1952,tampa,fl,oval,9000,Triangulation radar fix (USAF&#44 civil&#44 Navy).  I ordered intercept by SAC B-29.  B-29 tracked object. Central fire control system locked,27.9472222,-82.4586111
1952,10 January 1952,kansas city,mo,disk,90,1952 daylight sighting of multiple discs in formation,39.0997222,-94.5783333
1952,07 May 1952,tacoma,wa,sphere,120,6 spheres flying in formation over military base in Tacoma Wash. the size of 747&#39s.,47.2530556,-122.4430556
1952,06 June 1952,evergreen,co,disk,18000,Childhood abduction and mental and visual encounters through out life.,39.6333333,-105.3166667
1952,12 June 1952,chicago,il,other,45,Radar siting near Chicago- Dec. 1952. Object moved about 10 miles per second.,41.85,-87.65
1952,07 July 1952,evergreen,co,circle,14400,abducted&#44 and a lifetime of ufo experiences,39.6333333,-105.3166667
1952,07 July 1952,arlington,tx,disk,900,Daylight sighting of a Disk,32.7355556,-97.1077778
1952,09 September 1952,philadelphia,pa,circle,180,saucers in a line over Phila Pa.,39.9522222,-75.1641667
1952,02 October 1952,binghamton,ny,disk,900,1952 UFO  disk outside Binghamton&#44 NY  Girls&#39 Club stops for a look at teenage females,42.0986111,-75.9183333
1952,06 October 1952,chicago (south suburb),il,circle,600,My sighting of two objects in Chicago&#44 IL as a pre-teen in the early 50&#39s,41.85,-87.65
1953,04 January 1953,haverhill,ma,chevron,2,Historical account&#44 Haverhill MA,42.7761111,-71.0777778
1953,04 January 1953,cambridge,ma,sphere,180,Two red-orange lights skirted Boston rooftops in opposite directions&#44 then went over my dormitory in tandem.,42.375,-71.1061111
1953,06 January 1953,fresno,ca,unknown,300,i  seem to  be the only one of  my  siblings  to  recall this event.i  do not  understand  why  this  is. 500 Lights On Object0: Ye,36.7477778,-119.7713889
1953,07 January 1953,colorado springs (mtsn nw of),co,disk,10,Absolutely huge UFO hovered 40 feet above house in total silence before instantly disappearing without a trace.,38.8338889,-104.8208333
1953,08 January 1953,berkeley,mo,fireball,300,Early 50&#39s sighting in Berkeley&#44 Missouri,38.7544444,-90.3311111
1953,07 April 1953,ogallala,ne,other,2700,Bright white light with no sound&#44 hovering&#44 very fast when leaving at Lake McConaughy,41.1280556,-101.7191667
1953,08 July 1953,vallejo,ca,light,3600,At first we thought they were shooting stars,38.1041667,-122.2555556
1953,04 October 1953,chariton,ia,other,600,&quot; Flying Wing Before It&#39s Time &quot;,41.0138889,-93.3063889
1954,02 January 1954,fairbanks,ak,unknown,1140,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,64.8377778,-147.7163889
1954,06 January 1954,springfield (rural area near),il,cylinder,600,This happened many years ago when I was a child.  Object&#44 3&#39 long&#44 crystal type cylinder&#44 pinkish color came in fast from the East and,39.8016667,-89.6436111
1954,06 January 1954,houston,tx,disk,180,I fulfilled my duty by passing on an unusual accourance,29.7630556,-95.3630556
1954,06 January 1954,ovid,ny,disk,600,I saw two silver/gray objects of different shapes.,42.6763889,-76.8233333
1954,06 January 1954,toledo,oh,disk,60,SEE ABOVE,41.6638889,-83.5552778
1954,06 January 1954,philadelphia,pa,disk,2,They Are Our Brothers,39.9522222,-75.1641667
1954,06 January 1954,el cerrito,ca,light,300,It was a Sunday evening and must have been in November of Decemberme to Berkeley because it was dark and I needed to be in Berkeley for,37.9158333,-122.3105556
1954,07 January 1954,los angeles,ca,circle,15,In 1954&#44 I saw a red glowing disc traveling thousands of mph straight over the Los Angeles night sky.,34.0522222,-118.2427778
1954,08 January 1954,canton,pa,disk,30,Large&#44 silver-blue disc shaped oject which gave off high pitched sound and was slowly turning on its axis and then suddenly sped away.,41.6563889,-76.8536111
1954,08 January 1954,north hollywood,ca,light,1800,Star like point of light slowly travelling across the sky in 1954,34.1722222,-118.3780556
1954,08 January 1954,farmingdale,ny,oval,1800,Sphere  -30 min. - Stationary&#44 bright object over Jet Factory  -1954,40.7325,-73.4458333
1954,08 January 1954,dyer,in,triangle,15,I saw a silent exhaustless golden glowing slow flying triangle on a late summer afternoon In 1954 or 1955.,41.4941667,-87.5216667
1954,09 January 1954,geneva,ny,disk,120,While marching on a bivouac maneuver in (?) September 1954&#44 I caught a glimpse overhead of a disc-shaped&#44 metallic in color object that,42.8688889,-76.9780556
1954,10 January 1954,flatwoods,wv,circle,60,I saw the craft go across the horizon.  It appeared to be on fire&#44 I first thought it was a plane going down.  It landed near a farm.,38.7230556,-80.65
1954,11 January 1954,denver,co,fireball,10,I was approximately 12 years old when I saw this UFO.  I haven&#39t told a lot of people about it.  I thought because I was so young at th,39.7391667,-104.9841667
1954,07 July 1954,west columbia,sc,formation,600,3circles together&#44 very bright lighting around them and on them&#44 silver&#44 like 3 wedding rings together,34.0005556,-81.035
1954,07 July 1954,walnut creek,ca,unknown,300,I have not reported this before. I feel it should be recorderd somewhere. My friend and I used to take time-lapse photos of the stars a,37.9063889,-122.0638889
1954,09 September 1954,beaumont,tx,disk,300,Aprox. 30 Disk shaped UFOs fell out of clouds got in V formatin  and shot toward a black rain cloud avoiding a Jet Plane.,30.0858333,-94.1016667
1954,06 October 1954,estes park,co,cigar,300,1953  Estes Park&#44 Colorado  cigar shaped craft floating above pine trees on a ranch,40.3772222,-105.5211111
1955,05 January 1955,holbrook,ma,egg,60,I turned around and over the trees was a large yellow object shaped like a football without the tips on the ends.,42.155,-71.0091667
1955,06 January 1955,bagley,mn,circle,7200,I was 5 years old at the time&#44 family of 4 told they would remember nothing. I managed to break free of the (mind) control just before,47.5216667,-95.3980556
1955,06 January 1955,martinez (outskirts),ca,circle,1800,We observed a large object aprox.size &quot;football field or larger&quot; aproach us 45mph make 90 degree turn. color &quot;red glowing ember&quot;.2000 f,38.0194444,-122.1330556
1955,06 January 1955,cincinnati,oh,disk,120,June 1955.  Bronze saucer/cylindrical craft; approx. 3:30 p.m.&#44 no life form sited.,39.1619444,-84.4569444
1955,06 January 1955,clinton,tn,egg,360,Egg shaped craft landed on lonly country road&#44 seen by a family of five.,36.1033333,-84.1319444
1955,07 January 1955,dierks,ar,cigar,10,Cigar-shaped craft&#44 8 feet long with flashing liglhts&#44 hovering above ground,34.1191667,-94.0163889
1955,07 January 1955,carnation (on tolt river&#44 cascade mts.),wa,disk,480,1955 daytime sighting of a saucer craft by a family of four while on a picnic on a Sunday in the Cascade Mts. of Washington.  The famil,47.6480556,-121.9127778
1955,06 June 1955,pensacola,fl,light,300,orange fireball .,30.4211111,-87.2169444
1955,08 June 1955,newtown square,pa,circle,4,A round object going from bottom to top of moon in 4 seconds,39.9866667,-75.4013889
1955,08 August 1955,independence,mo,fireball,300,Flaming ball of light making right angle turns seen from front porch on a hot summer&#39s night.,39.0911111,-94.4152778
1955,10 September 1955,west covina,ca,unknown,4,Brilliant green meteor heading north west from view in California near L.A.,34.09,-117.8894444
1956,01 January 1956,weirton,wv,disk,10,My Uncle Sam was driving to work very early one winter morning.  He lived down the street from my house.  As he approached my home in h,40.4188889,-80.5897222
1956,03 January 1956,petaluma,ca,oval,1800,Objects were several thousand feet in altitude and bounced around the sky basically overhead.  I was 17 years old at the time.  The Pet,38.2325,-122.6355556
1956,05 January 1956,canton,oh,cigar,120,At first the silver disc was stationary. As it moved across the sky&#44 it moved so rapidly&#44 it could not have been man made.,40.7988889,-81.3786111
1956,06 January 1956,memphis,tn,cylinder,900,Object was glowing dull orange bent cylinder. Hovered noiselessly over RR tracks for a time&#44 then took off straight up.,35.1494444,-90.0488889
1956,06 January 1956,belton,mo,other,600,THE EVENT WAS A PERSONAL CONTACT WITH AN ALIEN. SINCE I WAS ABOUT 6 YEARS OLD AND IT HAS BEEN A LONG TIME FORGIVE ME ANY DESCREPANCIES,38.8119444,-94.5316667
1956,07 January 1956,beatrice (14 mi sw of),ne,other,120,Large pale silver dome seen over a hill and also near the house of SE Nebraska farm.,40.2680556,-96.7466667
1956,08 January 1956,bradford,al,sphere,20,moving sparkling white/ yellowish/orange/flat black sphere paused 20 feet over my head,32.9947222,-86.085
1956,08 January 1956,harvard,ma,unknown,3,Lost time.,42.5,-71.5833333
1956,10 January 1956,newport,nh,rectangle,300,Disk with glass center section&#44 and flames behind the glass,43.3652778,-72.1738889
1956,12 January 1956,columbus,oh,formation,240,A &quot;V&quot;  shape set of lights either on one large&#44 silent aircraft&#44 or 5 different aircraft flying in formation. No noise heard.,39.9611111,-82.9988889
1956,07 May 1956,elmore,al,sphere,3600,Me and my cousins where playing near morter creek&#44 near elmore &#44out in woods.A disk shaped sphere came out of sky and  it was hover,32.5386111,-86.315
1956,06 June 1956,akron,oh,other,30,Akron Ohio&#44 1956&#44 Bright object similar to flying wing. 10 pm. See full description.,41.0813889,-81.5191667
1956,09 September 1956,norfolk,va,cigar,90,Unidentified Object Hovering over Interstate 264&#44 Norfolk&#44 Virginia,36.8466667,-76.2855556
1956,10 October 1956,edna,tx,circle,20,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,28.9783333,-96.6458333
1956,07 December 1956,wichita,ks,unknown,90,Small&#44 Silent&#44 Metalic&#44 And Very &#44 Very  Fast &#33,37.6922222,-97.3372222
1957,01 January 1957,dallas,tx,unknown,20,I was flying the first of 4 USAF aircraft on a simulated bombing run on a bridge span in Dallas&#44 Texas.  The other 3 aircraft were behi,32.7833333,-96.8
1957,05 January 1957,canton,oh,cigar,180,Cigar shaped object is motionless for more than a minute&#44 then moves west at incomprhensible speed&#44 then out of sight.,40.7988889,-81.3786111
1957,06 January 1957,el paso,tx,disk,7,The UFO did not make any sounds.  The craft&#39s disappearance from the sky was like a blurr.,31.7586111,-106.4863889
1957,06 January 1957,glens falls,ny,disk,240,there was no mistakeing what i was looking at it was up close and they traveled very slowly,43.3094444,-73.6444444
1957,06 January 1957,irving,tx,light,300,tryangle over tx,32.8138889,-96.9486111
1957,07 January 1957,del rio,tx,cigar,15,Owners New Car Has Paint Purned Off By UFO.,29.3625,-100.8963889
1957,07 January 1957,talcott,wv,sphere,15,A sphere that looked like a white light came across the horizon from West to East&#44 an Air Force Jet followed about 3-4 sec later.,37.6513889,-80.7544444
1957,08 January 1957,arco,id,disk,180,A surveying crew of five disturbed a landed craft that lifted up during mid day and then flew away after observing us.,43.6366667,-113.2994444
1957,09 January 1957,brecksville,oh,circle,180,20 ft in diameter glowing ufo landed a few feet from my car .,41.3197222,-81.6269444
1957,09 January 1957,graham,tx,sphere,30,Three shiny spheres over Graham Texas,33.1069444,-98.5891667
1957,10 January 1957,paterson,nj,disk,10,Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ,40.9166667,-74.1722222
1957,10 January 1957,nelchina (near),ak,unknown,180,This incident occurred about October of 1956 or &#8216;57. At the time&#44 I was Assistant station manager for a major airline in Anchorage as,61.9919444,-146.7686111
1957,08 March 1957,vandalia,oh,disk,300,Disk with light spining through it&#39s center crossed the sky from south to north in 3 min or less 8/3/57,39.8905556,-84.1988889
1957,03 May 1957,jena,la,sphere,900,Heading S. in my car on two lane highway entering Jena LA saw UFO&#39s to the S.E. many cars stopped to abserve,31.6830556,-92.1336111
1957,09 May 1957,los gatos (west of),ca,disk,60,3 craft seen in day light&#44 very low altitude and as clear in detail and color as a car on the road.,37.2266667,-121.9736111
1957,10 May 1957,st. paul,mn,light,45,A bright light was apparently chased by several military jets.,44.9444444,-93.0930556
1957,06 June 1957,hicksville (long island),ny,circle,15,My friend and I saw 7 perfectly circular objects fly over us. We were laying in his back yard looking up to see any shooting stars.,40.7683333,-73.5255556
1957,08 July 1957,indianapolis,in,light,3600,Flashing light over Indiana,39.7683333,-86.1580556
1957,08 September 1957,san diego (north of&#44 at sea),ca,disk,900,At least a hundred miles out to sea&#44 a long time ago&#44 in 1957&#44 a very interesting sighting&#44 after midnight.  First report.,32.7152778,-117.1563889
1957,07 October 1957,phillipsburg,nj,cigar,420,cigar shaped&#44 after nightfall&#44 Phillipsburg NJ&#44 witnesses,40.6936111,-75.1905556
1957,07 October 1957,baltimore,md,other,60,ON THE ABOVE DATE&#44MYSELF AND THREE OTHER BOYS HAD ENTERED THE BACK GATE OF THE CARLINS DRIVE INN THEATER TO SEE A MOVIE.  WE HAD BEEN T,39.2902778,-76.6125
1957,09 October 1957,st. paul,mn,disk,300,3 UFO&#39s saucer-shaped with flashing lights landed in field next to me&#44 when I approached took off with great speed.,44.9444444,-93.0930556
1957,11 October 1957,teaneck,nj,cylinder,120,Cylinder UFO followed by disc seen in fall of 1957 over northern New Jersey,40.8975,-74.0163889
1957,11 October 1957,corpus christi,tx,light,600,UFO over Corpus Christi near naval yard on November 10&#44 1957,27.8002778,-97.3961111
1958,01 January 1958,pep,tx,fireball,2,Green fire balls&#44 Texas Panhandle&#44 late 1950&#39s.,33.8161111,-102.5577778
1958,06 January 1958,middlesex,nc,circle,3600,white glowing lights,35.79,-78.2041667
1958,06 January 1958,grand island,ne,circle,180,Hovering craft 60-75&#39 over roadway,40.925,-98.3416667
1958,06 January 1958,timpson,tx,light,5400,Round lights&#44blMulticolored lights moving in circles on and around reswidence,31.9036111,-94.395
1958,06 January 1958,san francisco,ca,oval,120,A low flying huge silver flying saucer positions itself over home in San Francisco in 1958.,37.775,-122.4183333
1958,06 January 1958,new york city (bronx),ny,oval,10,7 brightly illuminated elliptical discs racing uniformly across the night sky were seen moving NNW to SSE equally spaced apart.,40.7141667,-74.0063889
1958,07 January 1958,muncie,in,unknown,300,A star sized object circled the sky and then shot straight out of sight at very great speed.,40.1933333,-85.3863889
1958,08 January 1958,derby (new haven),ct,disk,900,Occurred during early evening hours.  LARGE UFO (witnessed by many in neighborhood) hovered over open field at end of housing project.,41.3205556,-73.0894444
1958,09 January 1958,fargo,nd,disk,900,Flying Saucer seen while driving home from work.,46.8772222,-96.7894444
1958,05 May 1958,palmer park,md,sphere,1200,I saw a white spherical light zig zaging across the sky leaving a plasma trail at unthinkable speed.,38.9208333,-76.8719444
1958,06 June 1958,cincinnati,oh,diamond,86400,odd shaped diamond saucer&#44light could pass threw it&#44about thirty feet long&#4415 feet high&#44three feet from touching the ground&#44glass looki,39.1619444,-84.4569444
1958,05 July 1958,north hollywood,ca,circle,432000,A visit by a ufo object by a young child in 1958,34.1722222,-118.3780556
1958,09 July 1958,arthur,nd,unknown,900,Two lights of alternating color traveling and stopping at unexplainable rates of speed.,47.1041667,-97.2177778
1958,08 August 1958,scarborough,me,disk,600,I was a young girl around 1958 when I saw a saucer-shaped craft on the ground in daylight resting between two sets of power lines,43.5780556,-70.3222222
1958,06 October 1958,baldwin park,ca,cigar,300,In 1958&#44 an eleven year old girl sees a cigar shaped saucer hovering near her home.,34.0852778,-117.96
1958,07 October 1958,cheektowaga,ny,teardrop,20,White teardrop shaped object observed during the daytime,42.9033333,-78.755
1958,08 October 1958,bellevue,wa,light,1200,At dusk&#44 a light appeared out of the  SE sky arched down above the E horizon moved NW.,47.6105556,-122.1994444
1959,04 January 1959,miami,fl,sphere,2700,1959 childhood encounter with a spherical&#44 faceted object&#44 that had landed in my back yard in Miami.,25.7738889,-80.1938889
1959,05 January 1959,columbus,oh,light,180,Red-orange lights over seen motionless over Lockborne AFB-one vanished and one sped out of sight.,39.9611111,-82.9988889
1959,06 January 1959,nelson,ne,cigar,600,this was told to me from the man who seen the object. it was after a softball game in the summer of 1959. he was in the country going h,40.2016667,-98.0675
1959,06 January 1959,orange,ct,cylinder,3600,Sighted craft and transport of object to the ground,41.2783333,-73.0261111
1959,06 January 1959,sidney,oh,light,300,Saw a bright light shining down.  Pulled over to the side of I75 and watched it about 5 min. before it took off very quickly heading ea,40.2841667,-84.1555556
1959,07 January 1959,castle rock,wa,cigar,30,Large&#44 cigar-shaped aircraft with evenly spaced windows drifted silently over the tree tops at night.,46.2752778,-122.9063889
1959,07 January 1959,strathmore,ca,disk,240,the gathering of static electricity from atmosphere by ufo alien or USA craft  possible unmaned,36.1455556,-119.0597222
1959,08 January 1959,golden,tx,disk,3,children see flying saucer in small East Texas town,32.7294444,-95.5627778
1959,10 January 1959,jacksonville,il,unknown,60,Late 1959&#44 bright lights from a hovering object of unknown shape making a zed-zid zed-zid electrical sound.,39.7338889,-90.2288889
1959,05 May 1959,el sobrante,ca,circle,120,Bright&#44 yellow/orange circle&#44 10 ft. in diameter&#44 silent&#44 slow moving&#44 5mph&#44 50 ft. above ground-2 minutes&#44 chased &amp; threw rocks at it.,37.9772222,-122.2941667
1959,06 May 1959,arvada,co,circle,3600,small round one over Rocky Flats at high altitude in 1959,39.8027778,-105.0869444
1959,07 July 1959,long beach,ca,light,45,As a young man&#44 I would lay out in the yard at night and look at the sky--I often saw an object moving at night speed&#44 very high&#44 no no,33.7669444,-118.1883333
1959,01 October 1959,south san francisco,ca,disk,120,Its was approximately 6:30pm&#44 I was sitting in frontroom watching TV&#44 when screen showed sometype of interference.  I looked out the wi,37.6547222,-122.4066667
1959,06 October 1959,monroe,mi,unknown,1800,Observed three very high flying  objects fly at unusual maneuvers,41.9163889,-83.3977778
1959,08 October 1959,reseda,ca,disk,600,The saucer was roof high and I observed it very closely for at least 3 to 5 minutes,34.2011111,-118.5355556
1959,11 November 1959,starke,fl,sphere,1800,UFO OVER JACKSONVILLE,29.9438889,-82.11
1960,02 January 1960,st. paul,mn,cigar,3,A cigar-shaped UFO glided down towards the earth at a 45 degree angle&#44 but was lost in the ground clutter.,44.9444444,-93.0930556
1960,02 January 1960,hartwell,ga,cigar,45,My father explained an event of a large cigar-shaped object in perfect flight,34.3527778,-82.9322222
1960,04 January 1960,houston,tx,other,300,Sharp right angle turn in flight direction after stopping in mid-flight,29.7630556,-95.3630556
1960,05 January 1960,tucson,az,light,300,Lights only&#44 no sound&#44 moving across the night sky&#44 then making a series of perfect right angle turns&#44 like plowing a field.,32.2216667,-110.9258333
1960,06 January 1960,sacramento,ca,cigar,300,Brother sees ship and occupants...maybe more.......,38.5816667,-121.4933333
1960,06 January 1960,palmdale,ca,disk,300,Summer 1960 saucer with flashing lights (antenae?) hovered above Lilac View Street then shot straight up and out of sight.,34.5794444,-118.1155556
1960,06 January 1960,watervliet,mi,disk,300,3 Saucers seen hovering in daylight; seen clearly enough to see the lights revolving around the middle,42.1866667,-86.2605556
1960,06 January 1960,yakima,wa,other,900,Shaped like an old fashioned oil derick-about 100 feet tall-stationary-made of pure light.  We watched it&#44along with two or three other,46.6022222,-120.5047222
1960,06 January 1960,seattle,wa,oval,5,OBJECT WAS OVAL IN SHAPE AND HAD MANY LIGHTS ON THE INSIDE PERIMETER. THE COLOR WAS LIGHT GREEN&#44 LIKE THE OLD LUMINOUS WATCHES THAT GLO,47.6063889,-122.3308333
